,price,rooms,area,kitchen_area,Годпостройки,Количествоэтажей,Количествобалконов,Количествоквартир,Количествоподъездов,number_of_owners,number_of_elevators,renovation_Евро,renovation_Косметический,renovation_Отсутствует,deal_type_Свободная продажа,Материалстен_Железобетон,Материалстен_Кирпично-монолитный,Материалстен_Кирпичный,Материалстен_Монолитный,Материалстен_Панельный,Материалстен_Смешанные,Сериядома_1-513,Сериядома_121,Сериядома_121. многоквартирный дом,"Сериядома_14/14, индивидуальный",Сериядома_2.многоквартирный,Сериядома_25,Сериядома_89152-к примогражданпроект,Сериядома_II-01,Сериядома_II-03,Сериядома_II-32,Сериядома_II-66,Сериядома_v-кирпичный,Сериядома_ПП-83,Сериядома_у-0101,Типперекрытий_Железобетонный,Типперекрытий_Монолитный,Типперекрытий_Смешанный,Типфундамента_Иной,Типфундамента_Ленточный,Типфундамента_Сборный,Типфундамента_Свайный,Типфундамента_Сплошной,Горячееводоснабжение_Поквартирный котел,Теплоснабжение_Центральное,energy_efficiency_class_C,energy_efficiency_class_D,energy_efficiency_class_E,ventilation_Приточно-вытяжная
88,16.166885910365842,3.0,58.4,6.0,1958.0,3.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,16.325109901643454,2.0,46.8,8.0,2023.0,25.0,1.0,220.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
90,16.066802461833923,1.0,38.8,12.0,2009.0,15.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,15.518438995635059,1.0,34.9,8.0,1977.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,14.946912992035967,2.0,16.8,2.0,1984.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
91,16.213405921671733,3.0,85.0,8.0,1976.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
59,15.732433317205148,2.0,45.4,4.0,1974.0,9.0,1.0,219.5,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
79,16.454567959008102,2.0,46.8,8.0,2022.0,23.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,15.830413711839864,2.0,52.6,10.0,2024.0,4.0,1.0,52.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61,16.072051817168948,2.0,45.3,8.0,1977.0,9.0,1.0,219.5,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
