,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude
83,83,10000000,3.0,67.9,12.8,4.0,,Свободная продажа,нет,есть,1993.0,Панельный,,10.0,,Железобетонный,,Центральное,,,,,,,"42,1 м2",,,,,,,нет,,43.209236700000005,132.1481407
84,84,6200000,1.0,41.3,9.1,3.0,Косметический,,,есть,1987.0,Кирпичный,,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,D,,,,,,43.17010435,131.9318341124218
85,85,16500000,4.0,191.9,13.5,1.0,Дизайнерский,,,,1984.0,Кирпичный,,3.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,231.0,Центральное,,,,,,,D,,,,,,43.17650085,131.93970712227272
86,86,12900000,1.0,40.0,5.0,5.0,Дизайнерский,Свободная продажа,,,2022.0,Монолитный,,7.0,,Железобетонный,,Поквартирный котел,1.0,,,,,,,,,,,,,,,54.7270737,55.9868538
87,87,6000000,1.0,30.6,8.0,4.0,Евро,,,,1963.0,Панельный,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,D,,,,,,43.16830495,131.92819022704512
88,88,10500000,3.0,58.4,6.0,1.0,Косметический,Свободная продажа,нет,,1958.0,Кирпичный,,3.0,,Смешанный,Бетонные столбы,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,,,Центральное,Центральное,,,,,,,Центральное,,,,,43.116113850000005,131.9032703
89,89,7990000,1.0,39.3,10.0,14.0,Отсутствует,,,,2015.0,Монолитный,25,25.0,есть,Железобетонный,Сборный,,1.0,,Центральное,,,,,,,A,,,,,,43.0830431,131.8519583
90,90,9500000,1.0,38.8,12.0,5.0,Косметический,,,,2009.0,Монолитный,,15.0,есть,Железобетонный,Свайный,Закрытая с приготовлением горячей воды на ИТП,1.0,,Центральное,,,,,,,A,,,,,,43.1530927,131.9144007254032
91,91,11000000,3.0,85.0,,6.0,Косметический,,,есть,1976.0,Кирпичный,,9.0,есть,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,,,,,,,,D,,,,,,43.178520250000005,131.91327914530802
92,92,7900000,,,,,,,,,,Панельный,,10.0,,,,,,,,,,,,,,,,,,,,43.1232754,131.92395275463758
